"","date","countrycode","population","cases_daily","deaths","cases_infected","cum_deaths","cases_contagious","cases_active","p_cases_infected","p_cases_daily","p_cases_contagious","p_cases_active"
"4018","2020/01/06","IE",4904240,0,0,0,0,0,0,0,0,0,0
"4017","2020/01/13","IE",4904240,0,0,0,0,0,0,0,0,0,0
"4016","2020/01/20","IE",4904240,0,0,0,0,0,0,0,0,0,0
"4015","2020/01/27","IE",4904240,0,0,0,0,0,0,0,0,0,0
"4014","2020/02/03","IE",4904240,0,0,0,0,0,0,0,0,0,0
"4013","2020/02/10","IE",4904240,0,0,0,0,0,0,0,0,0,0
"4012","2020/02/17","IE",4904240,0,0,0,0,0,0,0,0,0,0
"4011","2020/02/24","IE",4904240,0,0,0,0,0,0,0,0,0,0
"4010","2020/03/02","IE",4904240,1,0,1,0,1,1,2.03905192241815e-07,2.03905192241815e-07,2.03905192241815e-07,2.03905192241815e-07
"4009","2020/03/09","IE",4904240,20,0,21,0,21,21,4.28200903707812e-06,4.07810384483631e-06,4.28200903707812e-06,4.28200903707812e-06
"4008","2020/03/16","IE",4904240,148,2,169,2,169,169,3.44599774888668e-05,3.01779684517887e-05,3.44599774888668e-05,3.44599774888668e-05
"4007","2020/03/23","IE",4904240,737,2,906,4,906,906,0.000184738104171085,0.000150278126682218,0.000184738104171085,0.000184738104171085
"4006","2020/03/30","IE",4904240,1709,42,2615,46,2615,2615,0.000533212077712347,0.000348473973541262,0.000533212077712347,0.000533212077712347
"4005","2020/04/06","IE",4904240,2496,112,5111,158,5111,5111,0.00104215943754792,0.000508947359835571,0.00104215943754792,0.00104215943754792
"4004","2020/04/13","IE",4904240,4544,176,9655,334,9655,9655,0.00196870463109473,0.000926545193546808,0.00196870463109473,0.00196870463109473
"4003","2020/04/20","IE",4904240,5596,276,15251,610,15251,15251,0.00310975808687992,0.0011410534557852,0.00310975808687992,0.00310975808687992
"4002","2020/04/27","IE",4904240,4011,477,19262,1087,19262,19262,0.00392762181296185,0.000817863726081921,0.00392762181296185,0.00392762181296185
"4001","2020/05/04","IE",4904240,2244,216,21506,1303,21506,21506,0.00438518506435248,0.000457563251390633,0.00438518506435248,0.00438518506435248
"4000","2020/05/11","IE",4904240,1490,155,22996,1458,22996,22996,0.00468900380079278,0.000303818736440305,0.00468900380079278,0.00468900380079278
"3999","2020/05/18","IE",4904240,1116,85,24112,1543,24112,24112,0.00491656199533465,0.000227558194541866,0.00491656199533465,0.00491656199533465
"3998","2020/05/25","IE",4904240,527,63,24639,1606,24638,24639,0.00502402003164609,0.000107458036311437,0.00502381612645384,0.00502402003164609
"3997","2020/06/01","IE",4904240,351,44,24990,1650,24969,24990,0.00509559075412296,7.15707224768771e-05,0.00509130874508588,0.00509559075412296
"3996","2020/06/08","IE",4904240,211,29,25201,1679,25032,25201,0.00513861474968599,4.3023995563023e-05,0.00510415477219712,0.00513861474968599
"3995","2020/06/15","IE",4904240,102,27,25303,1706,24397,25303,0.00515941307929465,2.07983296086652e-05,0.00497467497512357,0.00515941307929465
"3994","2020/06/22","IE",4904240,76,9,25379,1715,22764,25379,0.00517490987390503,1.5496794610378e-05,0.00464169779619268,0.00517490987390503
"3993","2020/06/29","IE",4904240,60,20,25439,1735,20328,25439,0.00518714418543954,1.22343115345089e-05,0.00414498474789162,0.00518714418543954
"3992","2020/07/06","IE",4904240,88,6,25527,1741,15872,25526,0.00520508784235682,1.79436569172797e-05,0.00323638321126209,0.00520488393716458
"3991","2020/07/13","IE",4904240,101,5,25628,1746,10377,25607,0.00522568226677324,2.05944244164233e-05,0.00211592417989332,0.00522140025773616
"3990","2020/07/20","IE",4904240,132,7,25760,1753,6498,25591,0.00525259775214916,2.69154853759196e-05,0.00132497593918732,0.00521813777466029
"3989","2020/07/27","IE",4904240,121,10,25881,1763,4375,24975,0.00527727028041042,2.46725282612596e-05,0.000892085216057942,0.00509253217623934
"3988","2020/08/03","IE",4904240,281,0,26162,1763,3166,23547,0.00533456763943037,5.72973590199501e-05,0.000645563838637587,0.00480135556171802
"3987","2020/08/10","IE",4904240,550,9,26712,1772,2600,21601,0.00544671549516337,0.000112147855732998,0.00053015349982872,0.00440455605761545
"3986","2020/08/17","IE",4904240,545,2,27257,1774,2618,17602,0.00555784382493516,0.000111128329771789,0.000533823793289072,0.00358913919384043
"3985","2020/08/24","IE",4904240,712,3,27969,1777,2979,12718,0.00570302432181133,0.000145180496876172,0.000607433567688368,0.00259326623493141
"3984","2020/08/31","IE",4904240,791,0,28760,1777,3559,9498,0.00586431332887461,0.000161289007063276,0.00072569857918862,0.00193669151591276
"3983","2020/09/07","IE",4904240,912,0,29672,1777,4369,8166,0.00605027486419914,0.000185961535324535,0.000890861784904491,0.00166508979984666
"3982","2020/09/14","IE",4904240,1313,7,30985,1784,5606,7989,0.00631800238161265,0.000267727517413503,0.00114309250770762,0.00162899858081986
"3981","2020/09/21","IE",4904240,1948,8,32933,1792,7494,8821,0.0067152096960997,0.000397207314487056,0.00152806551066016,0.00179864770076505
"3980","2020/09/28","IE",4904240,2057,10,34990,1802,9463,10351,0.00713464267654112,0.000419432980441414,0.0019295548341843,0.00211062264489503
"3979","2020/10/05","IE",4904240,3042,8,38032,1810,12404,13042,0.00775492227134072,0.000620279594799602,0.00252924000456748,0.00265933151721775
"3978","2020/10/12","IE",4904240,4496,16,42528,1826,16768,17327,0.00867168001565992,0.000916757744319201,0.00341908226351076,0.00353306526597393
"3977","2020/10/19","IE",4904240,7434,26,49962,1852,24081,24659,0.0101875112147856,0.00151583119912565,0.00491024093437515,0.00502809813549092
"3976","2020/10/26","IE",4904240,7166,30,57128,1882,30966,31749,0.0116486958223904,0.00146118460760485,0.00631412818296005,0.00647378594848539
"3975","2020/11/02","IE",4904240,4874,33,62002,1915,35290,36563,0.012642529729377,0.000993833906986608,0.00719581423421366,0.00745538554393749
"3974","2020/11/09","IE",4904240,3392,32,65394,1947,38137,39867,0.0133341761414613,0.000691646412084237,0.00777633231652611,0.00812908829910445
"3973","2020/11/16","IE",4904240,2509,32,67903,1979,39934,42275,0.013845774268796,0.000511598127334714,0.00814274994698465,0.00862009200202274
"3972","2020/11/23","IE",4904240,2558,43,70461,2022,41701,44701,0.0143673637505505,0.000521589481754563,0.00850305042167594,0.00911476599840138
"3971","2020/11/30","IE",4904240,1780,30,72241,2052,42569,46360,0.014730314992741,0.000362951242190431,0.00868004012854183,0.00945304471233055
"3970","2020/12/07","IE",4904240,2005,45,74246,2097,43261,48084,0.0151391449031858,0.00040882991044484,0.00882114252157317,0.00980457726375544
