"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country"
"1","PT","PT01",714200,0.0447976878612717,0.0411111111111111,NA,NA,2076,30,0.0447976878612717,0.0411111111111111,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"2","PT","PT02",152758,0.00249791840133222,0.002,NA,NA,1201,15,0.00249791840133222,0.002,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"3","PT","PT03",848185,0.00504484304932735,0.00616666666666667,NA,NA,1784,30,0.00504484304932735,0.00616666666666667,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"4","PT","PT04",136252,0,0,NA,NA,50,2,0,0,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"5","PT","PT05",196264,0.00738007380073801,0.00272727272727273,NA,NA,542,11,0.00738007380073801,0.00272727272727273,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"6","PT","PT06",430104,0.00621761658031088,0.00577777777777778,NA,NA,1930,30,0.00621761658031088,0.00577777777777778,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"7","PT","PT07",166706,0.00704225352112676,0.00625,NA,NA,710,8,0.00704225352112676,0.00625,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"8","PT","PT08",451006,0.000522193211488251,0.000333333333333333,NA,NA,1915,30,0.000522193211488251,0.000333333333333333,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"9","PT","PT09",160939,0.00952380952380952,0.00416666666666667,NA,NA,525,12,0.00952380952380952,0.00416666666666667,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"10","PT","PT10",470930,0.00315457413249211,0.00307692307692308,NA,NA,1585,26,0.00315457413249211,0.00307692307692308,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"11","PT","PT11",2250533,0.00863464651915812,0.011,NA,NA,1853,30,0.00863464651915812,0.011,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"12","PT","PT12",118506,0.0135135135135135,0.012,NA,NA,370,5,0.0135135135135135,0.012,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"13","PT","PT13",1817117,0.0235137533274179,0.0175,NA,NA,2254,30,0.0235137533274179,0.0175,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"14","PT","PT14",453638,0.0182731841023298,0.0161818181818182,NA,NA,2189,30,0.0182731841023298,0.0161818181818182,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"15","PT","PT15",851258,0.00471380471380471,0.00408333333333333,NA,NA,1485,30,0.00471380471380471,0.00408333333333333,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"16","PT","PT16",244836,0.0140679953106682,0.03125,NA,NA,853,16,0.0140679953106682,0.03125,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"17","PT","PT17",206661,0.00656455142231947,0.003,NA,NA,457,10,0.00656455142231947,0.003,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"18","PT","PT18",377653,0.00218579234972678,0.00307692307692308,NA,NA,915,13,0.00218579234972678,0.00307692307692308,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"19","PT","PT20",245766,0.024,0.022962962962963,NA,NA,875,9,0.024,0.022962962962963,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
"20","PT","PT30",267785,0.0029126213592233,0.00261904761904762,NA,NA,1030,14,0.0029126213592233,0.00261904761904762,NA,NA,10561097,0.00659099231050897,NA,2731,30,0.0126477059501603,24599,0,0,0.0120424778144161,0
