"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","population_country","p_w_country_only","p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","p_w_country","p_m_country"
"1","UA","UA05",1604270,0,0,223,0,0,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"2","UA","UA07",1042855,0,0,280,0,0,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"3","UA","UA09",2263676,0,0,275,0,0,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"4","UA","UA12",3258705,0.005,0.0075,600,0.005,0.0075,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"5","UA","UA14",4387702,0,0,597,0,0,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"6","UA","UA18",1249225,0,0,166,0,0,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"7","UA","UA21",1259497,0,0,201,0,0,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"8","UA","UA23",1755663,0,0,205,0,0,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"9","UA","UA26",1382721,0.0107142857142857,0.0151851851851852,280,0.0107142857142857,0.0151851851851852,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"10","UA","UA30",2900920,NA,NA,0,NA,NA,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"11","UA","UA32",1731673,0.00555555555555556,0.005,180,0.00555555555555556,0.005,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"12","UA","UA35",974724,0,0,100,0,0,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"13","UA","UA40",381685,NA,NA,0,NA,NA,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"14","UA","UA43",1963770,NA,NA,120,NA,NA,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"15","UA","UA46",2535476,0,0,330,0,0,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"16","UA","UA48",1159634,0,0,250,0,0,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"17","UA","UA51",2387282,0.012448132780083,0.0333333333333333,241,0.012448132780083,0.0333333333333333,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"18","UA","UA53",1440684,0,0,250,0,0,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"19","UA","UA56",1162049,0,0,200,0,0,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"20","UA","UA59",1115051,0,0,155,0,0,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"21","UA","UA61",1066523,0,0,251,0,0,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"22","UA","UA63",2720342,0.02,0.04,350,0.02,0.04,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"23","UA","UA65",1063803,0,0,230,0,0,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"24","UA","UA68",1296103,0,0,326,0,0,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"25","UA","UA71",1246166,0,0,150,0,0,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"26","UA","UA74",1047023,0,0,110,0,0,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
"27","UA","UA77",910001,NA,NA,0,NA,NA,45307223,0.0128736635391665,0.0183183183183183,4583,0.00318902019494496,0.00619361500943035,5950,0.0074028928282467,0.0114691789764515
