"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country"
"1","CL","CLAI",103158,0,0,0,0,0,0,0,0,0,0,17574003,0,NA,400,6,0.00369514443274086,2372,0,0,0.00316193455788648,0
"2","CL","CLAN",607534,0,0,0,0,0,0,0,0,0,0,17574003,0,NA,400,6,0.00369514443274086,2372,0,0,0.00316193455788648,0
"3","CL","CLAP",226068,0,0,0,0,0,0,0,0,0,0,17574003,0,NA,400,6,0.00369514443274086,2372,0,0,0.00316193455788648,0
"4","CL","CLAR",957224,0,0,0,0,0,0,0,0,0,0,17574003,0,NA,400,6,0.00369514443274086,2372,0,0,0.00316193455788648,0
"5","CL","CLAT",286168,0,0,0,0,0,0,0,0,0,0,17574003,0,NA,400,6,0.00369514443274086,2372,0,0,0.00316193455788648,0
"6","CL","CLBI",1556805,0.00518134715025907,0.00238095238095238,NA,NA,386,7,0.00518134715025907,0.00238095238095238,NA,NA,17574003,0,NA,400,6,0.00369514443274086,2372,0,0,0.00316193455788648,0
"7","CL","CLCO",757586,0,0,NA,NA,100,2,0,0,NA,NA,17574003,0,NA,400,6,0.00369514443274086,2372,0,0,0.00316193455788648,0
"8","CL","CLLI",914555,0,0,0,0,0,0,0,0,0,0,17574003,0,NA,400,6,0.00369514443274086,2372,0,0,0.00316193455788648,0
"9","CL","CLLL",828708,0,0,0,0,0,0,0,0,0,0,17574003,0,NA,400,6,0.00369514443274086,2372,0,0,0.00316193455788648,0
"10","CL","CLLR",384837,0,0,NA,NA,10,2,0,0,NA,NA,17574003,0,NA,400,6,0.00369514443274086,2372,0,0,0.00316193455788648,0
"11","CL","CLMA",166533,0,0,0,0,0,0,0,0,0,0,17574003,0,NA,400,6,0.00369514443274086,2372,0,0,0.00316193455788648,0
"12","CL","CLML",1044950,0,0,0,0,0,0,0,0,0,0,17574003,0,NA,400,6,0.00369514443274086,2372,0,0,0.00316193455788648,0
"13","CL","CLNB",480609,0,0,0,0,0,0,0,0,0,0,17574003,0,NA,400,6,0.00369514443274086,2372,0,0,0.00316193455788648,0
"14","CL","CLRM",7112808,0.00799573560767591,0.0101309523809524,NA,NA,1876,20,0.00799573560767591,0.0101309523809524,NA,NA,17574003,0,NA,400,6,0.00369514443274086,2372,0,0,0.00316193455788648,0
"15","CL","CLTA",330558,0,0,0,0,0,0,0,0,0,0,17574003,0,NA,400,6,0.00369514443274086,2372,0,0,0.00316193455788648,0
"16","CL","CLVS",1815902,0,0,0,0,0,0,0,0,0,0,17574003,0,NA,400,6,0.00369514443274086,2372,0,0,0.00316193455788648,0
