Timestamp,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Recovered,Fatalities,RecentCases,StillSick,Tested,Positive,Hospital,Severe,ICU,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2020/03/24,Argentina,AR,"Ciudad Autónoma de Buenos Aires",ARC,,1000,0,,,,,,,,,,,,,AR-raw-csv,,
2020/03/24,Argentina,AR,"Provincia de Buenos Aires",ARB,,120,1,,,,,,,,,,,,,AR-raw-csv,,
2020/03/24,Argentina,AR,"Provincia de Buenos Aires",ARB,,500,0,,,,,,,,,,,,,AR-raw-csv,,
2020/03/24,Argentina,AR,"Ciudad Autónoma de Buenos Aires",ARC,,300,0,,,,,,,,,,,,,AR-raw-csv,,
2020/03/25,Argentina,AR,"Provincia de Buenos Aires",ARB,,500,0,,,,,,,,,,,,,AR-raw-csv,,
2020/03/25,Argentina,AR,"Ciudad Autónoma de Buenos Aires",ARC,,70,0,,,,,,,,,,,,,AR-raw-csv,,
2020/03/25,Argentina,AR,"Provincia de Buenos Aires",ARB,,1000,0,,,,,,,,,,,,,AR-raw-csv,,
2020/03/25,Argentina,AR,"Provincia de Buenos Aires",ARB,,30,0,,,,,,,,,,,,,AR-raw-csv,,
2020/03/25,Argentina,AR,"Provincia de Buenos Aires",ARB,,100,0,,,,,,,,,,,,,AR-raw-csv,,
2020/03/25,Argentina,AR,"Ciudad Autónoma de Buenos Aires",ARC,,110,0,,,,,,,,,,,,,AR-raw-csv,,
2020/03/25,Argentina,AR,"Ciudad Autónoma de Buenos Aires",ARC,,15,0,,,,,,,,,,,,,AR-raw-csv,,
2020/03/25,Argentina,AR,"Provincia de Buenos Aires",ARB,,100,0,,,,,,,,,,,,,AR-raw-csv,,
2020/03/25,Argentina,AR,"Provincia del Neuquén",ARQ,,20,0,,,,,,,,,,,,,AR-raw-csv,,
2020/03/25,Argentina,AR,"Provincia de Buenos Aires",ARB,,30,0,,,,,,,,,,,,,AR-raw-csv,,
2020/03/25,Argentina,AR,"Provincia de Buenos Aires",ARB,,100,0,,,,,,,,,,,,,AR-raw-csv,,
2020/03/26,Argentina,AR,"Provincia de Buenos Aires",ARB,,10000,0,,,,,,,,,,,,,AR-raw-csv,,
2020/03/28,Argentina,AR,"Provincia de Buenos Aires",ARB,,300,3,,,,,,,,,,,,,AR-raw-csv,,
2020/03/30,Argentina,AR,"Ciudad Autónoma de Buenos Aires",ARC,,20,0,,,,,,,,,,,,,AR-raw-csv,,
2020/03/30,Argentina,AR,"Ciudad Autónoma de Buenos Aires",ARC,,50,0,,,,,,,,,,,,,AR-raw-csv,,
2020/03/30,Argentina,AR,"Ciudad Autónoma de Buenos Aires",ARC,,100,1,,,,,,,,,,,,,AR-raw-csv,,
2020/03/30,Argentina,AR,"Provincia de Santa Fe",ARS,,100,0,,,,,,,,,,,,,AR-raw-csv,,
2020/04/01,Argentina,AR,"Provincia de Córdoba",ARX,,20,2,,,,,,,,,,,,,AR-g-sheet,,
2020/04/01,Argentina,AR,"Provincia de Buenos Aires",ARB,,100,0,,,,,,,,,,,,,AR-g-sheet,,
2020/04/02,Argentina,AR,,,,10,0,,,,,,,,,,,,,AR-g-sheet,,
2020/04/04,Argentina,AR,"Ciudad Autónoma de Buenos Aires",ARC,,200,3,,,,,,,,,,,,,AR-g-sheet,,
2020/04/04,Argentina,AR,"Provincia de Buenos Aires",ARB,,50,8,,,,,,,,,,,,,AR-g-sheet,,
2020/04/04,Argentina,AR,"Provincia de Buenos Aires",ARB,,100,0,,,,,,,,,,,,,AR-g-sheet,,
2020/04/06,Argentina,AR,,,,100,0,,,,,,,,,,,,,AR-g-sheet,,
2020/04/09,Argentina,AR,,,,100,0,,,,,,,,,,,,,AR-g-sheet,,
2020/04/12,Argentina,AR,,,,50,0,,,,,,,,,,,,,AR-g-sheet,,
2020/04/17,Argentina,AR,"Ciudad Autónoma de Buenos Aires",ARC,,20,0,,,,,,,,,,,,,AR-g-sheet,,
2020/04/26,Argentina,AR,,,,50,0,,,,,,,,,,,,,AR-g-sheet,,
2020/05/01,Argentina,AR,"Provincia de Córdoba",ARX,,100,0,,,,,,,,,,,,,AR-g-sheet,,
