"date","population","total_responses","pct_cli","pct_cli_smooth","pct_cli_smooth_low","pct_cli_smooth_high","number_cli","batched_pct_cli","batched_pct_cli_smooth","batched_pct_cli_smooth_low","batched_pct_cli_smooth_high","estimate_cli","cum_estimate_cli","number_cli_smooth","cum_number_cli_smooth","b_size_denom","p_cases_active","p_cases_active_high","p_cases_active_low"
"2020/04/23",100388076,300,1.3333,1.0725964653278,0.618433496093825,1.52675943456177,3.9999,1.3333,0.964199665499798,0.735224776495805,1.19317455450379,967941.492993683,967941.492993683,1076758.95478658,1076758.95478658,1500,0.00964199665499798,0.0119317455450379,0.00735224776495805
"2020/04/24",100388076,2369,1.0553,1.04024728017111,0.675919307773589,1.40457525256863,25.000057,1.0553,0.974795455389746,0.748927243868756,1.20066366691074,978578.402601204,1946519.89559489,1044284.23020611,2121043.18499269,1500,0.00974795455389746,0.0120066366691074,0.00748927243868756
"2020/04/25",100388076,1599,0.7505,1.01172137865517,0.711221523200354,1.31222123411,12.000495,0.7505,0.985509134801664,0.762497502891826,1.2085207667115,989333.659231637,2935853.55482652,1015647.6265126,3136690.81150529,1500,0.00985509134801664,0.012085207667115,0.00762497502891826
"2020/04/26",100388076,1472,1.019,0.986935556272183,0.728248127806941,1.24562298473743,14.99968,1.019,0.996341825096252,0.77591542811566,1.21676822207684,1000208.38859741,3936061.94342394,990765.616301542,4127456.42780683,1500,0.00996341825096252,0.0121676822207684,0.0077591542811566
"2020/04/27",100388076,1459,0.9596,0.965827604079981,0.73047611722609,1.20117909093387,14.000564,0.9596,1.00729465369344,0.78916201508288,1.22542729230401,1011203.72249371,4947265.66591765,969575.749212791,5097032.17701962,1500,0.0100729465369344,0.0122542729230401,0.0078916201508288
"2020/04/28",100388076,1630,0.4294,0.948359067883669,0.722143812038269,1.17457432372907,6.99922,0.4294,1.0183687539951,0.802220674598783,1.23451683339142,1022320.79872086,5969586.4646385,952039.421819949,6049071.59883957,1500,0.010183687539951,0.0123451683339142,0.00802220674598783
"2020/04/29",100388076,1514,1.255,0.934518229197348,0.708470098771877,1.16056635962282,19.0007,1.255,1.02956526530455,0.815078155403991,1.24405237520511,1033560.76100353,7003147.22564204,938144.870160487,6987216.46900006,1500,0.0102956526530455,0.0124405237520511,0.00815078155403991
"2020/04/30",100388076,1506,1.0624,0.924323430362705,0.694806325566629,1.15384053515878,15.999744,1.0624,1.04088533274288,0.827724956351916,1.25404570913384,1044924.75890677,8048071.98454881,927910.50775832,7915126.97675838,1500,0.0104088533274288,0.0125404570913384,0.00827724956351916
"2020/05/01",100388076,1356,1.0324,0.917826884003401,0.685744237103822,1.14990953090298,13.999344,1.0324,1.05233010716196,0.840155090598147,1.26450512372577,1056413.94774863,9104485.93229744,921388.749861766,8836515.72662015,1500,0.0105233010716196,0.0126450512372577,0.00840155090598147
"2020/05/02",100388076,1137,0.7036,0.915063809629159,0.684372909695338,1.14575470956298,7.999932,0.7036,1.06390053443828,0.852364618891378,1.27543644998518,1068029.27707631,10172515.2093737,918614.952659015,9755130.67927916,1500,0.0106390053443828,0.0127543644998518,0.00852364618891378
"2020/05/03",100388076,2893,0.9679,0.915645212183224,0.690013116137419,1.14127730822903,28.001347,0.9679,1.07559575859734,0.86434671108434,1.28684480611034,1079769.88759348,11252285.0969672,919198.611496857,10674329.290776,1500,0.0107559575859734,0.0128684480611034,0.0086434671108434
"2020/05/04",100388076,3094,1.1635,0.918985026583811,0.699655998946399,1.13831405422122,35.99869,1.1635,1.08741392764658,0.876093621107729,1.29873423418543,1091633.92012043,12343919.0170877,922551.386915576,11596880.6776916,1500,0.0108741392764658,0.0129873423418543,0.00876093621107729
"2020/05/05",100388076,3258,1.0129,0.924515661198178,0.709975431322824,1.13905589107353,33.000282,1.0129,1.09935305696237,0.887600273175653,1.31110584074908,1103619.3823317,13447538.3994194,928103.484595529,12524984.1622871,1500,0.0109935305696237,0.0131110584074908,0.00887600273175653
"2020/05/06",100388076,3243,0.7709,0.931674081680833,0.718316688585439,1.14503147477623,25.000287,0.999063275605844,1.11141103246855,0.898865699791823,1.32395636514527,1115724.15194691,14563262.5513663,935289.685190057,13460273.8474772,1500,0.0111141103246855,0.0132395636514527,0.00898865699791823
