"","countrycode","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","recent_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country"
"11","ES","ESAR","ESZ",964693,0,0,0,0,0,0,1319291,0.0114155251141553,0.0256122448979592,NA,NA,438,7,0,0,0,0,0,0,0.0114155251141553,0.0256122448979592,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"12","ES","ESAS","ESO",1022800,0.00357142857142857,0.00333333333333333,NA,NA,560,6,1022800,0,0,0,0,0,0,0.00357142857142857,0.00333333333333333,0,0,560,0,0.00357142857142857,0.00333333333333333,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"13","ES","ESCB","ESS",581078,0.006,0.01,NA,NA,500,6,581078,0,0,0,0,0,0,0.006,0.01,0,0,500,0,0.006,0.01,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"14","ES","ESCE","ESCE",84777,0,0,0,0,0,0,84777,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"15","ES","ESCL","ESAV",157640,0,0,0,0,0,0,2399548,0.0341463414634146,0.03,NA,NA,410,6,0,0,0,0,0,0,0.0341463414634146,0.03,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"16","ES","ESCL","ESLE",460001,0,0,0,0,0,0,2399548,0.0341463414634146,0.03,NA,NA,410,6,0,0,0,0,0,0,0.0341463414634146,0.03,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"17","ES","ESCL","ESP",160980,0,0,0,0,0,0,2399548,0.0341463414634146,0.03,NA,NA,410,6,0,0,0,0,0,0,0.0341463414634146,0.03,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"18","ES","ESCL","ESSG",153129,0,0,0,0,0,0,2399548,0.0341463414634146,0.03,NA,NA,410,6,0,0,0,0,0,0,0.0341463414634146,0.03,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"19","ES","ESCL","ESSA",330119,0,0,0,0,0,0,2399548,0.0341463414634146,0.03,NA,NA,410,6,0,0,0,0,0,0,0.0341463414634146,0.03,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"20","ES","ESCL","ESZA",172539,0,0,0,0,0,0,2399548,0.0341463414634146,0.03,NA,NA,410,6,0,0,0,0,0,0,0.0341463414634146,0.03,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"21","ES","ESCL","ESVA",519546,0,0,0,0,0,0,2399548,0.0341463414634146,0.03,NA,NA,410,6,0,0,0,0,0,0,0.0341463414634146,0.03,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"22","ES","ESCL","ESBU",356958,0,0,0,0,0,0,2399548,0.0341463414634146,0.03,NA,NA,410,6,0,0,0,0,0,0,0.0341463414634146,0.03,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"23","ES","ESCL","ESSO",88636,0,0,0,0,0,0,2399548,0.0341463414634146,0.03,NA,NA,410,6,0,0,0,0,0,0,0.0341463414634146,0.03,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"24","ES","ESCM","ESCU",196329,0,0,0,0,0,0,2032863,0.0360884749708964,0.0487362637362637,NA,NA,859,13,0,0,0,0,0,0,0.0360884749708964,0.0487362637362637,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"25","ES","ESCM","ESTO",694844,0,0,0,0,0,0,2032863,0.0360884749708964,0.0487362637362637,NA,NA,859,13,0,0,0,0,0,0,0.0360884749708964,0.0487362637362637,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"26","ES","ESCM","ESCR",495761,0,0,0,0,0,0,2032863,0.0360884749708964,0.0487362637362637,NA,NA,859,13,0,0,0,0,0,0,0.0360884749708964,0.0487362637362637,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"27","ES","ESCM","ESGU",257762,0,0,0,0,0,0,2032863,0.0360884749708964,0.0487362637362637,NA,NA,859,13,0,0,0,0,0,0,0.0360884749708964,0.0487362637362637,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"28","ES","ESCM","ESAB",388167,0,0,0,0,0,0,2032863,0.0360884749708964,0.0487362637362637,NA,NA,859,13,0,0,0,0,0,0,0.0360884749708964,0.0487362637362637,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"29","ES","ESCN","ESTF",1032983,0,0,0,0,0,0,2153389,0.0775510204081633,0.0791666666666667,NA,NA,245,4,0,0,0,0,0,0,0.0775510204081633,0.0791666666666667,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"30","ES","ESCN","ESGC",1120406,0,0,0,0,0,0,2153389,0.0775510204081633,0.0791666666666667,NA,NA,245,4,0,0,0,0,0,0,0.0775510204081633,0.0791666666666667,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"31","ES","ESCT","ESB",5664579,0,0,0,0,0,0,7675217,0.032579185520362,0.0412068965517241,NA,NA,2210,29,0,0,0,0,0,0,0.032579185520362,0.0412068965517241,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"32","ES","ESCT","ESL",434930,0,0,0,0,0,0,7675217,0.032579185520362,0.0412068965517241,NA,NA,2210,29,0,0,0,0,0,0,0.032579185520362,0.0412068965517241,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"33","ES","ESCT","EST",804664,0,0,0,0,0,0,7675217,0.032579185520362,0.0412068965517241,NA,NA,2210,29,0,0,0,0,0,0,0.032579185520362,0.0412068965517241,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"34","ES","ESCT","ESGI",771044,0,0,0,0,0,0,7675217,0.032579185520362,0.0412068965517241,NA,NA,2210,29,0,0,0,0,0,0,0.032579185520362,0.0412068965517241,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"35","ES","ESEX","ESCC",394151,0,0,0,0,0,0,1067710,0.0472222222222222,0.0325,NA,NA,360,4,0,0,0,0,0,0,0.0472222222222222,0.0325,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"36","ES","ESEX","ESBA",673559,0,0,0,0,0,0,1067710,0.0472222222222222,0.0325,NA,NA,360,4,0,0,0,0,0,0,0.0472222222222222,0.0325,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"37","ES","ESGA","ESLU",329587,0,0,0,0,0,0,2699499,0.0121212121212121,0.0129411764705882,NA,NA,990,17,0,0,0,0,0,0,0.0121212121212121,0.0129411764705882,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"38","ES","ESGA","ESPO",942665,0,0,0,0,0,0,2699499,0.0121212121212121,0.0129411764705882,NA,NA,990,17,0,0,0,0,0,0,0.0121212121212121,0.0129411764705882,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"39","ES","ESGA","ESC",1119596,0,0,0,0,0,0,2699499,0.0121212121212121,0.0129411764705882,NA,NA,990,17,0,0,0,0,0,0,0.0121212121212121,0.0129411764705882,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"40","ES","ESGA","ESOR",307651,0,0,0,0,0,0,2699499,0.0121212121212121,0.0129411764705882,NA,NA,990,17,0,0,0,0,0,0,0.0121212121212121,0.0129411764705882,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"41","ES","ESIB","ESPM",1149460,0.0423076923076923,0.0483333333333333,NA,NA,260,4,1149460,0,0,0,0,0,0,0.0423076923076923,0.0483333333333333,0,0,260,0,0.0423076923076923,0.0483333333333333,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"42","ES","ESMC","ESMU",1493898,0,0,NA,NA,325,4,1493898,0,0,0,0,0,0,0,0,0,0,325,0,0,0,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"43","ES","ESMD","ESM",6663394,0.06237379403186,0.0666148255037144,NA,NA,4457,54,6663394,0,0,0,0,0,0,0.06237379403186,0.0666148255037144,0,0,4457,0,0.06237379403186,0.0666148255037144,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"44","ES","ESML","ESML",86487,0,0,0,0,0,0,86487,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"45","ES","ESNC","ESNA",654214,0.03,0.03,NA,NA,300,3,654214,0,0,0,0,0,0,0.03,0.03,0,0,300,0,0.03,0.03,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"46","ES","ESPV","ESSS",723576,0,0,0,0,0,0,2207776,0.0308641975308642,0.0311111111111111,NA,NA,810,9,0,0,0,0,0,0,0.0308641975308642,0.0311111111111111,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"47","ES","ESPV","ESVI",331549,0,0,0,0,0,0,2207776,0.0308641975308642,0.0311111111111111,NA,NA,810,9,0,0,0,0,0,0,0.0308641975308642,0.0311111111111111,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"48","ES","ESPV","ESBI",1152651,0,0,0,0,0,0,2207776,0.0308641975308642,0.0311111111111111,NA,NA,810,9,0,0,0,0,0,0,0.0308641975308642,0.0311111111111111,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"49","ES","ESRI","ESLO",316798,0.02,0.02,NA,NA,100,2,316798,0,0,0,0,0,0,0.02,0.02,0,0,100,0,0.02,0.02,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"50","ES","ESVC","ESA",1858683,0,0,0,0,0,0,5003769,0.0374882849109653,0.0247354497354497,NA,NA,1067,18,0,0,0,0,0,0,0.0374882849109653,0.0247354497354497,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"51","ES","ESVC","ESCS",579962,0,0,0,0,0,0,5003769,0.0374882849109653,0.0247354497354497,NA,NA,1067,18,0,0,0,0,0,0,0.0374882849109653,0.0247354497354497,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
"52","ES","ESVC","ESV",2565124,0,0,0,0,0,0,5003769,0.0374882849109653,0.0247354497354497,NA,NA,1067,18,0,0,0,0,0,0,0.0374882849109653,0.0247354497354497,NA,NA,47026208,0.0376386687797147,NA,2524,30,0.034190500420433,9559,0,0,0.0349107832093784,0
