"date","region","regionname","population","sample_size","reach","cases","recentcases","fatalities","cases_est","cases_low","cases_high","p_cases","p_cases_low","p_cases_high","recentcases_est","recentcases_low","recentcases_high","p_recentcases","p_recentcases_low","p_recentcases_high","p_recenthospital","p_recenthospital_low","p_recenthospital_high","recentcasesnursing_est","recentcasesnursing_low","recentcasesnursing_high","fatalities_est","fatalities_low","fatalities_high","hospital_est","hospital_low","hospital_high","icu_est","icu_low","icu_high","p_recovered","p_recovered_low","p_recovered_high","p_fatalities","p_fatalities_low","p_fatalities_high","p_recentcasesnursing","p_recentcasesnursing_low","p_recentcasesnursing_high","p_stillsick","p_stillsick_low","p_stillsick_high","p_hospital","p_hospital_low","p_hospital_high","p_severe","p_severe_low","p_severe_high","p_icu","p_icu_low","p_icu_high","p_tested","p_tested_low","p_tested_high","p_positive","p_positive_low","p_positive_high"
"2020/11/28","GBSFT","Sefton",276410,7,281,24,1,NA,23607.9715302491,14575.3347942413,32640.6082662569,0.0854092526690391,0.0527308519743906,0.118087653363688,983.665480427046,0,2908.18082331504,0.00355871886120996,0,0.0105212576365365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0142348754448399,0.000384597419355402,0.0280851534703243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/11/29","GBSFT","Sefton",276410,7,281,24,1,NA,23607.9715302491,14575.3347942413,32640.6082662569,0.0854092526690391,0.0527308519743906,0.118087653363688,983.665480427046,0,2908.18082331504,0.00355871886120996,0,0.0105212576365365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0142348754448399,0.000384597419355402,0.0280851534703243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/11/30","GBSFT","Sefton",276410,7,281,24,1,NA,23607.9715302491,14575.3347942413,32640.6082662569,0.0854092526690391,0.0527308519743906,0.118087653363688,983.665480427046,0,2908.18082331504,0.00355871886120996,0,0.0105212576365365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0142348754448399,0.000384597419355402,0.0280851534703243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/12/01","GBSFT","Sefton",276410,7,281,24,1,NA,23607.9715302491,14575.3347942413,32640.6082662569,0.0854092526690391,0.0527308519743906,0.118087653363688,983.665480427046,0,2908.18082331504,0.00355871886120996,0,0.0105212576365365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0142348754448399,0.000384597419355402,0.0280851534703243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/12/02","GBSFT","Sefton",276410,7,281,24,1,NA,23607.9715302491,14575.3347942413,32640.6082662569,0.0854092526690391,0.0527308519743906,0.118087653363688,983.665480427046,0,2908.18082331504,0.00355871886120996,0,0.0105212576365365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0142348754448399,0.000384597419355402,0.0280851534703243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/12/03","GBSFT","Sefton",276410,7,281,24,1,NA,23607.9715302491,14575.3347942413,32640.6082662569,0.0854092526690391,0.0527308519743906,0.118087653363688,983.665480427046,0,2908.18082331504,0.00355871886120996,0,0.0105212576365365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0142348754448399,0.000384597419355402,0.0280851534703243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/12/04","GBSFT","Sefton",276410,6,181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/12/05","GBSFT","Sefton",276410,3,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/12/06","GBSFT","Sefton",276410,3,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020/12/07","GBSFT","Sefton",276410,3,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
