"","date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","population"
"7802","2019/12/31",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"7801","2020/01/01",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"7800","2020/01/02",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"7799","2020/01/03",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"7798","2020/01/04",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"7797","2020/01/05",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"7796","2020/01/06",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"7795","2020/01/07",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"7794","2020/01/08",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"7793","2020/01/09",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"7792","2020/01/10",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"7791","2020/01/11",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
"7790","2020/01/12",0,0,0,0,0,0,0,NA,NA,NA,0,0,0,16486542
